name,data/populationServed,data/country,data/hospitalBeds,data/ICUBeds,data/suspectedCasesToday,data/importsPerDay,data/cases
Switzerland,8600000,Switzerland,30799,1400,540,4,Switzerland
Germany,83784000,Germany,500680,23890,1710,12.2,Germany
France,65274000,France,274462,7540,3000,19.9,France
Italy,60462000,Italy,165384,7550,225600,10,Italy
Spain,46755000,Spain,110346,4479,4500,27,Spain
Poland,37847000,Poland,188342,2635,50,0.3,Poland
Romania,19238000,Romania,90024,4574,150,0.7,Romania
Netherlands,17135000,Netherlands,55690,1065,210,0.9,Netherlands
Belgium,11590000,Belgium,63692,1755,30,0.1,Belgium
Czechia,10709000,Czechia,92633,1242,150,0.6,none
Greece,10423000,Greece,38090,680,150,0.6,Greece
Portugal,10197000,Portugal,33821,451,100,0.4,Portugal
Sweden,10099000,Sweden,22754,550,390,1.5,Sweden
Hungary,9660000,Hungary,42413,1374,100,0.4,Hungary
Austria,9006000,Austria,49395,1833,500,1.8,Austria
Bulgaria,6948000,Bulgaria,42851,913,100,0.3,Bulgaria
Denmark,5792000,Denmark,13962,372,90,0.3,Denmark
Finland,5541000,Finland,16852,329,60,0.2,Finland
Slovakia,5460000,Slovakia,26642,500,30,0.1,Slovakia
Ireland,4938000,Ireland,11241,289,30,0.1,Ireland
Croatia,4105000,Croatia,16974,650,350,1,Croatia
Lithuania,2722000,Lithuania,18504,502,50,0.1,Lithuania
Slovenia,2079000,Slovenia,8740,131,50,0.1,Slovenia
Latvia,1886000,Latvia,6748,217,50,0.1,Latvia
Estonia,1327000,Estonia,4824,196,50,0.1,Estonia
Cyprus,1207000,Cyprus,2912,92,100,0.2,Cyprus
Luxembourg,626000,Luxembourg,2332,127,30,0.1,Luxembourg
Malta,442000,Malta,1400,66,90,0.1,Malta
Canada,37600000,Canada,73000,4800,191,4,Canada
United Kingdom,66000000,United Kingdom of Great Britain and Northern Ireland,297000,9900,690,4.6,United Kingdom
United States,330000000,United States of America,1485000,49499,6200,20,United States
CHE-Zürich,1521000,Switzerland,5447,247,95,0.2,CHE-Zürich
CHE-Bern,1035000,Switzerland,3706,168,64,0.1,CHE-Bern
CHE-Luzern,410000,Switzerland,1468,66,25,0.1,CHE-Luzern
CHE-Uri,36000,Switzerland,128,5,2,0.1,none
CHE-Schwyz,159000,Switzerland,569,25,9,0.1,CHE-Schwyz
CHE-Obwalden,38000,Switzerland,136,6,2,0.1,CHE-Obwalden
CHE-Nidwalden,43000,Switzerland,153,7,2,0.1,CHE-Nidwalden
CHE-Glarus,40000,Switzerland,143,6,2,0.1,CHE-Glarus
CHE-Zug,127000,Switzerland,454,20,7,0.1,CHE-Zug
CHE-Freiburg,319000,Switzerland,1142,51,20,0.1,none
CHE-Solothurn,273000,Switzerland,977,44,17,0.1,CHE-Solothurn
CHE-Basel-Stadt,195000,Switzerland,698,80,100,0.1,CHE-Basel-Stadt
CHE-Basel-Landschaft,288000,Switzerland,1031,46,50,0.1,CHE-Basel-Landschaft
CHE-Schaffhausen,82000,Switzerland,293,13,5,0.1,CHE-Schaffhausen
CHE-Appenzell Ausserrhoden,55000,Switzerland,196,8,3,0.1,none
CHE-Appenzell Innerrhoden,16000,Switzerland,57,2,1,0.1,none
CHE-St. Gallen,508000,Switzerland,1819,82,31,0.1,none
CHE-Graubünden,198000,Switzerland,709,32,50,0.1,CHE-Graubünden
CHE-Aargau,677000,Switzerland,2424,110,42,0.1,CHE-Aargau
CHE-Thurgau,276000,Switzerland,988,44,17,0.1,CHE-Thurgau
CHE-Ticino,353000,Switzerland,1264,57,100,0.1,CHE-Ticino
CHE-Vaud,799000,Switzerland,2861,130,100,0.1,CHE-Vaud
CHE-Valais,344000,Switzerland,1231,56,50,0.1,CHE-Valais
CHE-Neuchâtel,177000,Switzerland,633,28,11,0.1,CHE-Neuchâtel
CHE-Geneva,499000,Switzerland,1787,81,100,0.1,CHE-Geneva
CHE-Jura,73000,Switzerland,261,11,10,0.1,CHE-Jura
DEU-Baden-Württemberg,11070000,Germany,66152,3156,225,0.9,none
DEU-Bayern,13077000,Germany,78146,3728,266,1.1,none
DEU-Berlin,3645000,Germany,21781,1039,74,0.2,none
DEU-Bremen,683000,Germany,4081,194,13,0.1,none
DEU-Brandenburg,2512000,Germany,15011,716,51,0.1,none
DEU-Hamburg,1841000,Germany,11001,524,37,0.1,none
DEU-Hessen,6266000,Germany,37444,1786,127,0.4,none
DEU-Mecklenburg-Vorpommern,1610000,Germany,9621,459,32,0.1,none
DEU-Niedersachsen,7982000,Germany,47699,2275,162,0.6,none
DEU-Nordrhein-Westfalen,17933000,Germany,107164,5113,366,1.6,none
DEU-Rheinland-Pfalz,4085000,Germany,24411,1164,83,0.2,none
DEU-Saarland,991000,Germany,5922,282,20,0.1,none
DEU-Sachsen,4078000,Germany,24369,1162,83,0.2,none
DEU-Sachsen-Anhalt,2208000,Germany,13194,629,45,0.1,none
DEU-Schleswig-Holstein,2897000,Germany,17312,826,59,0.2,none
DEU-Thüringen,2143000,Germany,12806,611,43,0.1,none
SWE-Stockholm,2000000,Sweden,4506,108,77,0.2,none
ITA-Piemonte,4356406,Italy,14826,320,490,5,ITA-Piemonte
ITA-Valle d’Aosta,125666,Italy,449,0,10,5,none
ITA-Lombardia,10060574,Italy,34473,1067,20000,5,ITA-Lombardia
ITA-TrentinoAltoAdige,1072276,Italy,3763,75,100,5,none
ITA-Veneto,4905854,Italy,15857,825,3000,5,ITA-Veneto
ITA-Friuli Venezia Giulia,1215220,Italy,3899,825,600,5,ITA-Friuli Venezia Giulia
ITA-Liguria,1550640,Italy,5085,75,2500,5,ITA-Liguria
ITA-Emilia Romagna,4459477,Italy,16304,650,15000,5,ITA-Emilia Romagna
ITA-Toscana,3729641,Italy,10366,447,200,5,ITA-Toscana
ITA-Umbria,882015,Italy,2652,69,100,5,ITA-Umbria
ITA-Marche,1525271,Italy,4698,400,700,5,ITA-Marche
ITA-Lazio,5879082,Italy,18887,540,300,5,ITA-Lazio
ITA-Abruzzo,1311580,Italy,3872,70,200,5,ITA-Abruzzo
ITA-Molise,305617,Italy,1029,30,10,5,ITA-Molise
ITA-Campania,5801692,Italy,14779,320,1000,5,ITA-Campania
ITA-Puglia,4029053,Italy,11306,300,200,5,ITA-Puglia
ITA-Basilicata,562869,Italy,1681,5,10,5,ITA-Basilicata
ITA-Calabria,1947131,Italy,4901,107,50,5,ITA-Calabria
ITA-Sicilia,4999891,Italy,13642,441,300,5,ITA-Sicilia
ITA-Sardegna,1639591,Italy,4960,244,10,5,ITA-Sardegna
USA-Wyoming,567025,United States of America,1985,66,2,1,none
USA-Vermont,628061,United States of America,1319,44,2,1,none
USA-District of Columbia,720687,United States of America,3171,106,20,1,none
USA-Alaska,734002,United States of America,1615,54,2,1,none
USA-North Dakota,761723,United States of America,3275,109,2,1,none
USA-South Dakota,903027,United States of America,4335,145,2,1,none
USA-Delaware,982895,United States of America,2162,72,2,1,none
USA-Rhode Island,1056161,United States of America,2218,74,2,1,none
USA-Montana,1086759,United States of America,3586,120,2,1,none
USA-Maine,1345790,United States of America,3364,112,2,1,none
USA-New Hampshire,1371246,United States of America,2880,96,2,1,none
USA-Hawaii,1412687,United States of America,2684,89,2,1,none
USA-West Virginia,1778070,United States of America,6757,225,2,1,none
USA-Idaho,1826156,United States of America,3470,116,2,1,none
USA-Nebraska,1952570,United States of America,7029,234,2,1,none
USA-New Mexico,2096640,United States of America,3774,126,2,1,none
USA-Kansas,2910357,United States of America,9604,320,2,1,none
USA-Mississippi,298926,United States of America,11957,399,2,2,none
USA-Puerto Rico,303216,United States of America,6064,202,2,2,none
USA-Arkansas,3038999,United States of America,9725,324,2,2,none
USA-Nevada,3139658,United States of America,6593,220,2,2,none
USA-Iowa,317984,United States of America,9540,318,2,2,none
USA-Utah,3282115,United States of America,5908,197,2,2,none
USA-Connecticut,356307,United States of America,7126,238,2,2,none
USA-Oklahoma,3954821,United States of America,11073,369,2,2,none
USA-Oregon,4301089,United States of America,6882,229,2,2,none
USA-Kentucky,4499692,United States of America,14399,480,2,2,none
USA-Louisiana,4645184,United States of America,15329,511,2,2,none
USA-Alabama,4908621,United States of America,15217,507,2,2,none
USA-South Carolina,5210095,United States of America,12504,417,2,2,none
USA-Minnesota,5700671,United States of America,14252,475,2,2,none
USA-Colorado,5845526,United States of America,11106,370,2,2,none
USA-Wisconsin,5851754,United States of America,12289,410,2,2,none
USA-Maryland,6083116,United States of America,11558,385,2,2,none
USA-Missouri,6169270,United States of America,19125,638,2,2,none
USA-Indiana,6745354,United States of America,18212,607,2,2,none
USA-Tennessee,6897576,United States of America,20003,667,2,2,none
USA-Massachusetts,6976597,United States of America,16046,535,100,2,none
USA-Arizona,7378494,United States of America,14019,467,20,2,none
USA-Washington,7797095,United States of America,13255,442,200,2,none
USA-Virginia,8626207,United States of America,18115,604,20,2,none
USA-New Jersey,8936574,United States of America,21448,715,500,5,none
USA-Michigan,10045029,United States of America,25113,837,20,5,none
USA-North Carolina,10611862,United States of America,22285,743,20,5,none
USA-Georgia,10736059,United States of America,25767,859,20,5,none
USA-Ohio,11747694,United States of America,32894,1096,20,5,none
USA-Illinois,12659682,United States of America,31649,1055,100,5,none
USA-Pennsylvania,12820878,United States of America,37181,1239,100,5,none
USA-New York,19440469,United States of America,52489,1750,1000,10,none
USA-Florida,21992985,United States of America,57182,1906,300,10,none
USA-Texas,29472295,United States of America,67786,2260,200,10,none
USA-California,39937489,United States of America,71887,2396,1000,10,none
